#CHAPTER	TEXT	AUDIO	ANSWER-PIC	BLACKLIST-PIC	ENGLISH GLOSS	NOTES
	ᎦᏙ ᎤᏍᏗ Ꮵ̣ᎪᏩᏘᎭ?	gado-usdi-jigowhtiha			What (inanimate) do I see?	
	ᎦᏙ ᏧᏍᏗ ᏕᏥ̣ᎪᏩᏘᎭ?	gado-jusdi-dejigowhtiha			What all (inanimate) do I see?	
						
80	ᎥᏍᎩ.	vsgi	vsgi		Him. Her. Them. That. Those.	v¹sgị
	ᎥᏍᎩᎾ.	vsgina	vsgi		Him. Her. Them. That. Those.	v¹sgị²na
	ᎯᎠ.	hia	hia		Him. Her. Them. This. These.	hị²ɂa
	ᎯᎢ.	hii	hia		Him. Her. Them. This. These.	hị²ɂi
	Ꮎ.	na	vsgi		Him. Her. Them. That. Those.	na
	ᎾᏍᎩ.	nasgi	vsgi		Him. Her. Them. That. Those.	na¹sgi
	ᏍᎩᎾ.	sgina	vsgi		Him. Her. Them. That. Those.	sgị²na
						
81	ᎠᎨᏯ ᎠᏂ ᏥᎪᏩᏘᎭ.	agehya-ahni			A woman here, her I see.	x
	ᎠᎨᏯ ᎤᎿ ᏥᎪᏩᏘᎭ.	agehya-uhna		agehya-uhna; na-agehya	A woman there, her I see.	x
	ᎠᏴ.	ayv	ayv1; ayv2; ayv3	ayv	I. We. Me. Us.	x
						
	ᎯᎠ ᎾᎥ ᎦᏥᎪᏩᏘᎭ.	hia-nav-gajiigowhtiha	hia-nav-gajiigowhtiha		These near, them I see.	
	ᎯᎢ ᎾᎥ ᎦᏥᎪᏩᏘᎭ.	hii-nav-gajiigowhtiha	hia-nav-gajiigowhtiha		These near, them I see.	
	ᎯᎠ ᎾᎥ ᏥᎪᏩᏘᎭ.	hia-nav-jiigowhtiha	hia-nav-jiigowhtiha	hia-nav-jigowhtiha	This near, him or her I see.	
	ᎯᎢ ᎾᎥ ᏥᎪᏩᏘᎭ.	hii-nav-jiigowhtiha	hia-nav-jiigowhtiha	hia-nav-jigowhtiha	This near, him or her I see.	
	ᎯᎠ ᎾᎥ Ꮵ̣ᎪᏩᏘᎭ.	hia-nav-jigowhtiha		hia-nav-jiigowhtiha	This near, it I see.	
						
	ᏪᏌ ᏡᎬ ᎾᎥ ᎦᏥᎪᏩᏘᎭ.	wesa-hlgv-nav-gajiigowhtiha			Cats, a tree near, them I see.	
